"Team"," 2011 Wins"," 2010 Wins"," Differential"
"Houston",11,5,6
"Louisiana-Lafayette",8,3,5
"Eastern Michigan",6,2,4
"Western Kentucky",6,2,4
"Wyoming",7,3,4
"Arkansas State",8,4,4
"Rutgers",8,4,4
"Virginia",8,4,4
"San Jose State",4,1,3
"Vanderbilt",5,2,3
"Cincinnati",7,4,3
"Clemson",9,6,3
"Georgia",9,6,3
"Bowling Green",4,2,2
"New Mexico State",4,2,2
"Washington State",4,2,2
"Wake Forest",5,3,2
"Ball State",6,4,2
"UCLA",6,4,2
"Georgia Tech",8,6,2
"Kansas State",9,7,2
"Michigan",9,7,2
"Penn State",9,7,2
"Memphis",2,1,1
"Buffalo",3,2,1
"North Texas",4,3,1
"Purdue",5,4,1
"Utah State",5,4,1
"Iowa State",6,5,1
"Louisiana Tech",6,5,1
"Texas",6,5,1
"Brigham Young",8,7,1
"Southern California",9,8,1
"Southern Miss",9,8,1
"Akron",1,1,0
"New Mexico",1,1,0
"UNLV",2,2,0
"Central Michigan",3,3,0
"Colorado State",3,3,0
"Duke",3,3,0
"Rice",4,4,0
"Kent State",5,5,0
"Marshall",5,5,0
"Arizona State",6,6,0
"Western Michigan",6,6,0
"Baylor",7,7,0
"Florida International",7,7,0
"Notre Dame",8,8,0
"South Carolina",9,9,0
"Alabama",10,10,0
"LSU",11,11,0
"Kansas",2,3,-1
"Minnesota",2,3,-1
"U of Alabama Birmingham",3,4,-1
"California",4,5,-1
"East Carolina",5,6,-1
"Tennessee",5,6,-1
"UTEP",5,6,-1
"Illinois",6,7,-1
"Louisville",6,7,-1
"Northwestern",6,7,-1
"Southern Methodist",6,7,-1
"Washington",6,7,-1
"Iowa",7,8,-1
"Toledo",7,8,-1
"Arkansas",9,10,-1
"Utah",9,10,-1
"Oklahoma State",10,11,-1
"Virginia Tech",10,11,-1
"Ole Miss",2,4,-2
"Tulane",2,4,-2
"Louisiana-Monroe",3,5,-2
"Oregon State",3,5,-2
"Kentucky",4,6,-2
"Miami (FL)",5,7,-2
"Florida",6,8,-2
"North Carolina",6,8,-2
"Ohio",6,8,-2
"Temple",6,8,-2
"West Virginia",7,9,-2
"Nebraska",8,10,-2
"Tulsa",8,10,-2
"Michigan State",9,11,-2
"Wisconsin",9,11,-2
"Stanford",10,12,-2
"Colorado",2,5,-3
"Pittsburgh",5,8,-3
"South Florida",5,8,-3
"Syracuse",5,8,-3
"Texas Tech",5,8,-3
"Air Force",6,9,-3
"North Carolina State",6,9,-3
"San Diego State",6,9,-3
"Texas A&M",6,9,-3
"Florida State",7,10,-3
"Northern Illinois",8,11,-3
"Boise State",9,12,-3
"Oregon",9,12,-3
"Florida Atlantic",0,4,-4
"Indiana",1,5,-4
"Idaho",2,6,-4
"Middle Tennessee",2,6,-4
"Arizona",3,7,-4
"Boston College",3,7,-4
"Connecticut",4,8,-4
"Fresno State",4,8,-4
"Mississippi State",5,9,-4
"Missouri",6,10,-4
"Oklahoma",8,12,-4
"Texas Christian",9,13,-4
"Army",2,7,-5
"Troy",3,8,-5
"Navy",4,9,-5
"Hawaii",4,10,-6
"Miami (OH)",4,10,-6
"Ohio State",6,12,-6
"Maryland",2,9,-7
"U of Central Florida",4,11,-7
"Auburn",7,14,-7
"Nevada",5,13,-8
