"TEAM","'11","'10","DIF"
"Houston",12,5,7
"Arkansas State",9,4,5
"Cincinnati",9,4,5
"Louisiana-Lafayette",8,3,5
"Western Kentucky",7,2,5
"Wyoming",8,3,5
"Clemson",10,6,4
"Eastern Michigan",6,2,4
"Georgia",10,6,4
"Rutgers",8,4,4
"San Jose State",5,1,4
"Vanderbilt",6,2,4
"Virginia",8,4,4
"Bowling Green",5,2,3
"Kansas State",10,7,3
"Michigan",10,7,3
"Southern Miss",11,8,3
"Utah State",7,4,3
"Ball State",6,4,2
"Baylor",9,7,2
"Brigham Young",9,7,2
"Georgia Tech",8,6,2
"Louisiana Tech",7,5,2
"LSU",13,11,2
"New Mexico State",4,2,2
"North Texas",5,3,2
"Purdue",6,4,2
"Southern California",10,8,2
"Texas",7,5,2
"UCLA",6,4,2
"Wake Forest",5,3,2
"Washington State",4,2,2
"Penn State",9,7,2
"Alabama",11,10,1
"Buffalo",3,2,1
"Florida International",8,7,1
"Iowa State",6,5,1
"Marshall",6,5,1
"Memphis",2,1,1
"South Carolina",10,9,1
"Western Michigan",7,6,1
"Akron",1,1,0
"Arizona State",6,6,0
"California",5,5,0
"Central Michigan",3,3,0
"Colorado State",3,3,0
"Duke",3,3,0
"Kent State",5,5,0
"Louisville",7,7,0
"Minnesota",3,3,0
"New Mexico",1,1,0
"Notre Dame",8,8,0
"Oklahoma State",11,11,0
"Rice",4,4,0
"Southern Methodist",7,7,0
"Toledo",8,8,0
"UNLV",2,2,0
"Virginia Tech",11,11,0
"Washington",7,7,0
"West Virginia",9,9,0
"Wisconsin",11,11,0
"Arkansas",9,10,-1
"Boise State",11,12,-1
"East Carolina",5,6,-1
"Illinois",6,7,-1
"Iowa",7,8,-1
"Kansas",2,3,-1
"Kentucky",5,6,-1
"Louisiana-Monroe",4,5,-1
"Michigan State",10,11,-1
"Nebraska",9,10,-1
"North Carolina",7,8,-1
"Northern Illinois",10,11,-1
"Northwestern",6,7,-1
"Ohio",7,8,-1
"Oregon",11,12,-1
"San Diego State",8,9,-1
"Stanford",11,12,-1
"Temple",7,8,-1
"Tennessee",5,6,-1
"U of Alabama Birmingham",3,4,-1
"Utah",9,10,-1
"UTEP",5,6,-1
"Air Force",7,9,-2
"Colorado",3,5,-2
"Florida",6,8,-2
"Florida State",8,10,-2
"Miami (FL)",5,7,-2
"North Carolina State",7,9,-2
"Ole Miss",2,4,-2
"Oregon State",3,5,-2
"Pittsburgh",6,8,-2
"Tulane",2,4,-2
"Tulsa",8,10,-2
"Arizona",4,7,-3
"Boston College",4,7,-3
"Connecticut",5,8,-3
"Florida Atlantic",1,4,-3
"Mississippi State",6,9,-3
"Missouri",7,10,-3
"Oklahoma",9,12,-3
"South Florida",5,8,-3
"Syracuse",5,8,-3
"Texas A&M",6,9,-3
"Texas Tech",5,8,-3
"Texas Christian",10,13,-3
"Fresno State",4,8,-4
"Idaho",2,6,-4
"Indiana",1,5,-4
"Middle Tennessee",2,6,-4
"Army",2,7,-5
"Hawaii",5,10,-5
"Navy",4,9,-5
"Troy",3,8,-5
"Miami (OH)",4,10,-6
"Ohio State",6,12,-6
"U of Central Florida",5,11,-6
"Auburn",7,14,-7
"Maryland",2,9,-7
"Nevada",6,13,-7
